title,alias,description,topic,ons-link,dimension-names,dimension-labels
"Consumer Prices Index including owner occupiers' housing costs",cpih01,"CPIH is the most comprehensive measure of inflation. It extends CPI to include a measure of the costs associated with owning, maintaining and living in one's own home, known as owner occupiers' housing costs (OOH), along with council tax. This dataset provides CPIH time series (2005 to latest published month), allowing users to customise their own selection, view or download.","inflationandpriceindices",https://www.ons.gov.uk/datasets/cpih01/editions/time-series/versions,"time:geography:aggregate","time:geography:aggregate"
"Annual summary of hours worked, place of work by Local Authority",ashe-table-7-hours,"Estimates of paid hours worked for UK employees by gender and full/part-time working by work based Region to Local Authority level.","qmis",https://www.ons.gov.uk/datasets/ashe-table-7-hours/editions/time-series/versions,"time:sex:workingpattern:hours:statistics:geography","Time:Sex:Working pattern:Hours worked:Statistics:Geographic areas"
"Annual summary of earnings, place of work by Local Authority",ashe-table-7-earnings,"Estimates of weekly, hourly and annual earnings for UK employees by gender and full/part-time working by work based Region to Local Authority level.","qmis",https://www.ons.gov.uk/datasets/ashe-table-7-earnings/editions/time-series/versions,"time:sex:workingpattern:earnings:statistics:geography","Time:Sex:Working pattern:Earnings:Statistics:Geographic areas"
"Annual summary of hours worked, place of residence by Local Authority",ashe-table-8-hours,"Estimates of paid hours worked for UK employees by gender and full/part-time working by home based Region to Local Authority level.","qmis",https://www.ons.gov.uk/datasets/ashe-table-8-hours/editions/time-series/versions,"time:sex:workingpattern:hours:statistics:geography","Time:Sex:Working pattern:Hours worked:Statistics:Geographic areas"
"Annual summary of earnings, place of residence by Local Authority",ashe-table-8-earnings,"Estimates of weekly, hourly and annual earnings for UK employees by gender and full/part-time working by home based Region to Local Authority level.","qmis",https://www.ons.gov.uk/datasets/ashe-table-8-earnings/editions/time-series/versions,"time:sex:workingpattern:earnings:statistics:geography","Time:Sex:Working pattern:Earnings:Statistics:Geographic areas"
"Occupational Pension Schemes Survey, Rates",opss-rates,"The nature of occupational pension provision in the UK providing summary data on the rates of contributions paid","pensionssavingsandinvestments",https://www.ons.gov.uk/datasets/opss-rates/editions/time-series/versions,"time:geography:schememembershipsizeband:status:benefittype:contributor","Time:Geographic areas:Scheme membership size band:Status:Benefit type:Contributor"
"Occupational Pension Schemes Survey, Membership",opss-membership,"The nature of occupational pension provision in the UK providing summary data on the membership of schemes","pensionssavingsandinvestments",https://www.ons.gov.uk/datasets/opss-membership/editions/time-series/versions,"time:geography:schememembershipsizeband:status:benefittype:publicprivatesector:membershiptype","Time:Geographic areas:Scheme membership size band:Status:Benefit type:Public/private sector:Membership type"
"Personal well-being estimates",wellbeing-year-ending,"Estimates of life satisfaction, worthwhile, happiness and anxiety in the UK for the years ending March 2012 to September 2018.","wellbeing",https://www.ons.gov.uk/datasets/wellbeing-year-ending/editions/time-series/versions,"time:geography:estimate:allmeasuresofwellbeing","time:geography:estimate:All Measures of Well-being"
"Personal well-being in the UK: April 2018 to March 2019",wellbeing-local-authority,"Estimates of life satisfaction, worthwhile, happiness and anxiety at the UK, country and local authority level for the years ending March 2012 to March 2019.","wellbeing",https://www.ons.gov.uk/datasets/wellbeing-local-authority/editions/time-series/versions,"time:geography:estimate:allmeasuresofwellbeing","time:geography:estimate:All measures of well-being"
"UK trade: country by commodity",trade,"Country by commodity data on the UK's trade in goods, including trade by all countries and selected commodities, exports and imports, non seasonally adjusted.","balanceofpayments",https://www.ons.gov.uk/datasets/trade/editions/time-series/versions,"time:geography:commodity:country:direction","time:geography:commodity:country:direction"
"Health state life expectancy at birth and at age 65 by local areas, UK",life-expectancy-local-authority,"Life expectancy, healthy life expectancy and disability-free life expectancy – at birth and age 65 by sex for local areas in the UK, from 2013-2015 to 2015-2017.","healthandlifeexpectancies",https://www.ons.gov.uk/datasets/life-expectancy-local-authority/editions/time-series/versions,"time:geography:birthcohort:lifeexpectancyvariable","time:geography:Cohort:Expectancy type"
"Suicides in England and Wales by local authority",suicides-in-the-uk,"Number of suicides by local authority in England and Wales, registered from 2002 to 2017.","deaths",https://www.ons.gov.uk/datasets/suicides-in-the-uk/editions/time-series/versions,"time:geography","time:geography"
"Earnings and hours worked, place of work and residence by local authority: ASHE Tables 7 and 8 ",ashe-tables-7-and-8,"Allows you to produce customisable time series from 2016 to 2018 of XLS and CSV tables for key variables and measures from Annual Survey of Hours and Earnings (ASHE) Tables 7 & 8 down to local authority level.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-7-and-8/editions/time-series/versions,"time:geography:statistics:sex:workingpattern:hoursandearnings:workplaceorresidence","time:geography:statistics:sex:Working Pattern:Hours and Earnings:Workplace or Residence"
"Index of Private Housing Rental Prices",index-private-housing-rental-prices,"An experimental price index tracking the prices paid for renting property from private landlords in the United Kingdom","inflationandpriceindices",https://www.ons.gov.uk/datasets/index-private-housing-rental-prices/editions/time-series/versions,"time:geography:variable","time:geography:variable"
"Earnings and hours worked, place of work and place of residence by Parliamentary constituency: ASHE Tables 9 and 10",ashe-tables-9-and-10,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home and work-based Parliamentary constituency","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-9-and-10/editions/time-series/versions,"time:geography:statistics:sex:workingpattern:hoursandearnings:workplaceorresidence","time:geography:statistics:sex:Working Pattern:Hours and Earnings:Workplace or Residence"
"Earnings and Hours Worked, Work and Residence-Based Travel to Work Area: ASHE Tables 11 and 12",ashe-tables-11-and-12,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home-based and work-based travel to work area.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-11-and-12/editions/time-series/versions,"time:geography:statistics:sex:workingpattern:hoursandearnings:workplaceorresidence","time:geography:statistics:sex:Working Pattern:Hours and Earnings:Workplace or Residence"
"Earnings and Hours Worked, UK Region by Industry by Two-Digit SIC: ASHE Table 5",ashe-table-5,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-table-5/editions/time-series/versions,"time:geography:statistics:sex:workingpattern:hoursandearnings:standardindustrialclassification","time:geography:statistics:sex:Working Pattern:Hours and Earnings:Standard Industrial Classification"
